city,classification
ACORNHOEK,OUTLYING
ACTIVIA PARK,LOCAL
ACTONVILLE,LOCAL
ADAM,N/A
AEROPORT,LOCAL
Aeroport - Spartan,LOCAL
AERORAND,OUTLYING
ALABAMA,OUTLYING
ALAROMA,N/A
ALBERTON,LOCAL
ALBERTON NORTH,LOCAL
ALEXANDER TOWNSHIP,LOCAL
ALI MOTOR SPARES,N/A
ALIWAL NORTH,OUTLYING
ALONG MAIN NORTH 1,OUTLYING
ALRODE,LOCAL
ALTON,MAIN
AMALGAM,LOCAL
AMALINDA,MAIN
AMANDASIG,LOCAL
AMERSFORT,OUTLYING
AMSTERDAM,OUTLYING
ANDALUSIA PARK,LOCAL
Anderbolt,LOCAL
ANGOLA,N/A
ARCADIA,MAIN
ARMADALE,LOCAL
ASHBURNHAM,MAIN
ASHERVILLE,MAIN
ATTIE FOURIE 5,N/A
ATTRIDGEVILLE,LOCAL
BALFOUR,OUTLYING
BAOBAB MALL,LOCAL
BAPONG,OUTLYING
BARBEQUE DOWNS,LOCAL
BARBERTON,OUTLYING
Bardene,LOCAL
BARKLEY WEST,OUTLYING
BASHEWA,OUTLYING
BEACONSFIELD,MAIN
BEACONVALE,MAIN
BEAUFORT WEST,OUTLYING
BEAUMONT,LOCAL
BEDLO,N/A
BEITBRIDGE,OUTLYING
BEKKERSDAL,OUTLYING
BELA BELA,OUTLYING
BELFAST,OUTLYING
BELVILLE,MAIN
BENONI,LOCAL
BENONI AGRICULTUAL HOLDINGS,LOCAL
BEREA - TY,MAIN
BERGRIVIER,OUTLYING
BERGVILLE,OUTLYING
BETA BUILDING 3,N/A
BETHAL,OUTLYING
BETHELEHEM,OUTLYING
BETHLEHEM,OUTLYING
BEVERLY HILLS,LOCAL
BEYERS,LOCAL
BEZ VALLEY,LOCAL
BIABA,N/A
BIRCH ACRES,LOCAL
BLANK WATER ENGINE GARAGE,N/A
BLANTYRE,N/A
BLESKOP,OUTLYING
BLOEMFONTEIN,MAIN
BLOK T SOSHANGUVE,LOCAL
BLOUBOSRAND,LOCAL
BLUEHILLS,LOCAL
BOCHUM,OUTLYING
BOITEKONG,OUTLYING
BOITUMELO,OUTLYING
BOKSBERG,LOCAL
BOKSBUIRG,LOCAL
BOKSBURG,LOCAL
Boksburg - west,LOCAL
BOKSBURG NORTH,LOCAL
BOOYSENS,LOCAL
BOOYSENS RESERVE,LOCAL
Borokhoaneng,N/A
BOSHOEK,OUTLYING
Bosmont,LOCAL
BOSMONT GARAGE,LOCAL
