element,weight_band,price
1,1 to < 5,34.43
1,5 to < 10,34.43
1,10 to < 15,34.43
1,15 to < 20,34.43
1,20 to < 25,52.88
1,25 to < 30,54.08
1,30 to < 35,55.86
1,35 to < 40,57.05
1,40 to < 45,59.42
1,45 to < 50,60.62
1,50 to < 60,65.96
1,60 to < 70,68.94
1,70 to < 80,71.9
1,80 to < 90,75.47
1,90 to < 100,78.44
1,100 to < 150,102.8
1,150 to < 200,142.02
1,200 to < 250,181.84
1,250 to < 300,221.65
1,300 to < 350,262.06
2,1 to < 5,34.43
2,5 to < 10,34.43
2,10 to < 15,34.43
2,15 to < 20,34.43
2,20 to < 25,80.1
2,25 to < 30,84.42
2,30 to < 35,88.76
2,35 to < 40,93.8
2,40 to < 45,98.14
2,45 to < 50,103.18
2,50 to < 60,108.96
2,60 to < 70,113.29
2,70 to < 80,118.33
2,80 to < 90,123.38
2,90 to < 100,128.44
2,100 to < 150,206.37
2,150 to < 200,286.46
2,200 to < 250,367.28
2,250 to < 300,448.82
2,300 to < 350,528.91
3,1 to < 5,34.43
3,5 to < 10,34.43
3,10 to < 15,34.43
3,15 to < 20,34.43
3,20 to < 25,129.16
3,25 to < 30,144.32
3,30 to < 35,158.74
3,35 to < 40,174.61
3,40 to < 45,199.16
3,45 to < 50,216.47
3,50 to < 60,245.34
3,60 to < 70,278.53
3,70 to < 80,311
3,80 to < 90,345.63
3,90 to < 100,378.83
3,100 to < 150,488.5
3,150 to < 200,702.09
3,200 to < 250,771.35
3,250 to < 300,1100.4
3,300 to < 350,1129.26
4,1 to < 5,34.43
4,5 to < 10,34.43
4,10 to < 15,34.43
4,15 to < 20,34.43
4,20 to < 25,60.44
4,25 to < 30,61.8
4,30 to < 35,63.83
4,35 to < 40,65.2
4,40 to < 45,67.91
4,45 to < 50,69.27
4,50 to < 60,75.38
4,60 to < 70,78.77
4,70 to < 80,82.17
4,80 to < 90,86.24
4,90 to < 100,89.65
4,100 to < 150,117.49
4,150 to < 200,162.31
4,200 to < 250,207.82
4,250 to < 300,253.32
4,300 to < 350,299.5
5,1 to < 5,34.43
5,5 to < 10,34.43
5,10 to < 15,34.43
5,15 to < 20,34.43
5,20 to < 25,64.94
5,25 to < 30,67.1
5,30 to < 35,68.55
5,35 to < 40,70
5,40 to < 45,72.88
5,45 to < 50,75.04
5,50 to < 60,80.81
5,60 to < 70,84.42
5,70 to < 80,88.76
5,80 to < 90,92.36
5,90 to < 100,95.97
5,100 to < 150,141.43
5,150 to < 200,196.99
5,200 to < 250,252.55
5,250 to < 300,307.39
5,300 to < 350,362.96
6,1 to < 5,34.43
6,5 to < 10,34.43
6,10 to < 15,34.43
6,15 to < 20,34.43
6,20 to < 25,77.26
6,25 to < 30,80.65
6,30 to < 35,82.34
6,35 to < 40,84.89
6,40 to < 45,86.59
6,45 to < 50,89.14
6,50 to < 60,95.93
6,60 to < 70,101.02
6,70 to < 80,105.26
6,80 to < 90,109.51
6,90 to < 100,114.6
6,100 to < 150,188.45
6,150 to < 200,260.62
6,200 to < 250,333.62
6,250 to < 300,408.33
6,300 to < 350,480.49
7,1 to < 5,34.43
7,5 to < 10,34.43
7,10 to < 15,34.43
7,15 to < 20,34.43
7,20 to < 25,82.34
7,25 to < 30,85.75
7,30 to < 35,89.99
7,35 to < 40,93.38
7,40 to < 45,95.07
7,45 to < 50,98.48
7,50 to < 60,105.26
7,60 to < 70,108.66
7,70 to < 80,112.91
7,80 to < 90,118
7,90 to < 100,123.1
7,100 to < 150,210.53
7,150 to < 200,291.17
7,200 to < 250,374.37
7,250 to < 300,458.41
7,300 to < 350,539.91
8,1 to < 5,34.43
8,5 to < 10,34.43
8,10 to < 15,34.43
8,15 to < 20,34.43
8,20 to < 25,94.24
8,25 to < 30,99.32
8,30 to < 35,104.41
8,35 to < 40,110.36
8,40 to < 45,115.46
8,45 to < 50,121.39
8,50 to < 60,128.19
8,60 to < 70,133.27
8,70 to < 80,139.22
8,80 to < 90,145.16
8,90 to < 100,151.11
8,100 to < 150,242.8
8,150 to < 200,337.01
8,200 to < 250,432.09
8,250 to < 300,528.01
8,300 to < 350,622.25
9,1 to < 5,34.43
9,5 to < 10,34.43
9,10 to < 15,34.43
9,15 to < 20,34.43
9,20 to < 25,108.66
9,25 to < 30,118
9,30 to < 35,127.34
9,35 to < 40,135.82
9,40 to < 45,141.77
9,45 to < 50,147.71
9,50 to < 60,160.44
9,60 to < 70,171.47
9,70 to < 80,183.37
9,80 to < 90,193.55
9,90 to < 100,205.44
9,100 to < 150,290.32
9,150 to < 200,404.09
9,200 to < 250,518.69
9,250 to < 300,634.13
9,300 to < 350,747.88
10,1 to < 5,34.43
10,5 to < 10,34.43
10,10 to < 15,34.43
10,15 to < 20,34.43
10,20 to < 25,128.19
10,25 to < 30,141.77
10,30 to < 35,155.35
10,35 to < 40,167.24
10,40 to < 45,179.12
10,45 to < 50,190.16
10,50 to < 60,203.74
10,60 to < 70,214.78
10,70 to < 80,225.81
10,80 to < 90,242.8
10,90 to < 100,264.01
10,100 to < 150,366.73
10,150 to < 200,508.49
10,200 to < 250,653.66
10,250 to < 300,797.12
10,300 to < 350,942.28
11,1 to < 5,71.3
11,5 to < 10,89.14
11,10 to < 15,105.26
11,15 to < 20,129.04
11,20 to < 25,146.86
11,25 to < 30,162.99
11,30 to < 35,180.82
11,35 to < 40,198.64
11,40 to < 45,213.08
11,45 to < 50,225.81
11,50 to < 60,241.09
11,60 to < 70,271.65
11,70 to < 80,302.21
11,80 to < 90,332.77
11,90 to < 100,363.33
11,100 to < 150,494.92
11,150 to < 200,679.13
11,200 to < 250,872.68
11,250 to < 300,1066.23
11,300 to < 350,1259.77
12,1 to < 5,71.55
12,5 to < 10,89.85
12,10 to < 15,106.49
12,15 to < 20,130.61
12,20 to < 25,148.92
12,25 to < 30,166.39
12,30 to < 35,183.02
12,35 to < 40,201.32
12,40 to < 45,229.62
12,45 to < 50,249.58
12,50 to < 60,282.85
12,60 to < 70,321.13
12,70 to < 80,358.57
12,80 to < 90,398.49
12,90 to < 100,436.77
12,100 to < 150,563.21
12,150 to < 200,809.47
12,200 to < 250,889.33
12,250 to < 300,1268.7
12,300 to < 350,1301.97
13,1 to < 5,65.66
13,5 to < 10,80.1
13,10 to < 15,95.97
13,15 to < 20,116.9
13,20 to < 25,132.77
13,25 to < 30,147.92
13,30 to < 35,163.79
13,35 to < 40,178.96
13,40 to < 45,201.32
13,45 to < 50,217.91
13,50 to < 60,246.78
13,60 to < 70,280.69
13,70 to < 80,313.88
13,80 to < 90,347.08
13,90 to < 100,382.43
13,100 to < 150,492.84
13,150 to < 200,726.62
13,200 to < 250,805.99
13,250 to < 300,1129.99
13,300 to < 350,1151.63
14,1 to < 5,74.16
14,5 to < 10,88.06
14,10 to < 15,106.61
14,15 to < 20,129.78
14,20 to < 25,146
14,25 to < 30,163.01
14,30 to < 35,180.76
14,35 to < 40,197.77
14,40 to < 45,224.02
14,45 to < 50,242.57
14,50 to < 60,273.47
14,60 to < 70,311.32
14,70 to < 80,348.4
14,80 to < 90,383.93
14,90 to < 100,426.42
14,100 to < 150,531.49
