element,weight_band,price
1,1 to < 2,43.33
1,2 to < 4,47.76
1,4 to < 6,48.74
1,6 to < 8,49.23
1,8 to < 10,49.73
1,10 to < 20,57.61
1,20 to < 40,62.53
1,40 to < 60,68.44
1,60 to < 80,74.84
1,80 to < 100,80.75
1,100 to < 150,108.32
1,150 to < 200,148.69
1,200 to < 250,189.07
1,250 to < 300,228.95
1,300 to < 350,269.82
2,1 to < 2,74.21
2,2 to < 4,82.9
2,4 to < 6,84.47
2,6 to < 8,86.84
2,8 to < 10,88.43
2,10 to < 20,104.21
2,20 to < 40,119.21
2,40 to < 60,140.53
2,60 to < 80,159.47
2,80 to < 100,180.79
2,100 to < 150,294.48
2,150 to < 200,405.01
2,200 to < 250,517.11
2,250 to < 300,630.02
2,300 to < 350,741.32
3,1 to < 2,78.95
3,2 to < 4,95.53
3,4 to < 6,104.21
3,6 to < 8,112.9
3,8 to < 10,120.79
3,10 to < 20,176.25
3,20 to < 40,352.59
3,40 to < 60,528.93
3,60 to < 80,705.28
3,80 to < 100,881.62
3,100 to < 150,1322.47
3,150 to < 200,1763.32
3,200 to < 250,2204.18
3,250 to < 300,2645.03
3,300 to < 350,3085.88
4,1 to < 2,50.8
4,2 to < 4,55.99
4,4 to < 6,57.15
4,6 to < 8,57.73
4,8 to < 10,58.3
4,10 to < 20,67.54
4,20 to < 40,73.31
4,40 to < 60,80.23
4,60 to < 80,87.74
4,80 to < 100,94.67
4,100 to < 150,127
4,150 to < 200,174.33
4,200 to < 250,221.66
4,250 to < 300,268.42
4,300 to < 350,316.34
5,1 to < 2,67.99
5,2 to < 4,75.64
5,4 to < 6,76.4
5,6 to < 8,77.17
5,8 to < 10,77.93
5,10 to < 20,90.15
5,20 to < 40,97.79
5,40 to < 60,106.96
5,60 to < 80,116.9
5,80 to < 100,126.83
5,100 to < 150,191.77
5,150 to < 200,262.06
5,200 to < 250,333.88
5,250 to < 300,405.7
5,300 to < 350,477.51
6,1 to < 2,79.57
6,2 to < 4,87.43
6,4 to < 6,88.32
6,6 to < 8,90.93
6,8 to < 10,91.81
6,10 to < 20,104.04
6,20 to < 40,113.67
6,40 to < 60,125.03
6,60 to < 80,136.41
6,80 to < 100,147.77
6,100 to < 150,245.7
6,150 to < 200,336.64
6,200 to < 250,429.32
6,250 to < 300,521.99
6,300 to < 350,614.69
7,1 to < 2,81.31
7,2 to < 4,89.18
7,4 to < 6,90.93
7,6 to < 8,92.68
7,8 to < 10,93.56
7,10 to < 20,107.56
7,20 to < 40,118.04
7,40 to < 60,132.91
7,60 to < 80,146.9
7,80 to < 100,160.88
7,100 to < 150,277.18
7,150 to < 200,380.35
7,200 to < 250,485.28
7,250 to < 300,590.21
7,300 to < 350,694.25
8,1 to < 2,82.99
8,2 to < 4,92.7
8,4 to < 6,94.46
8,6 to < 8,97.12
8,8 to < 10,98.88
8,10 to < 20,116.54
8,20 to < 40,133.31
8,40 to < 60,157.15
8,60 to < 80,178.33
8,80 to < 100,202.18
8,100 to < 150,329.31
8,150 to < 200,452.91
8,200 to < 250,578.27
8,250 to < 300,704.53
8,300 to < 350,829
9,1 to < 2,84.28
9,2 to < 4,94.92
9,4 to < 6,99.35
9,6 to < 8,102.91
9,8 to < 10,107.35
9,10 to < 20,128.63
9,20 to < 40,157.01
9,40 to < 60,193.39
9,60 to < 80,231.53
9,80 to < 100,268.79
9,100 to < 150,406.3
9,150 to < 200,558.88
9,200 to < 250,714.13
9,250 to < 300,871.14
9,300 to < 350,1025.5
10,1 to < 2,85.57
10,2 to < 4,98.95
10,4 to < 6,105.19
10,6 to < 8,110.53
10,8 to < 10,117.65
10,10 to < 20,145.29
10,20 to < 40,189.86
10,40 to < 60,249.58
10,60 to < 80,309.3
10,80 to < 100,369.92
10,100 to < 150,516.98
10,150 to < 200,710.41
10,200 to < 250,908.29
10,250 to < 300,1107.06
10,300 to < 350,1305.83
11,1 to < 2,86.87
11,2 to < 4,103.9
11,4 to < 6,111.95
11,6 to < 8,121.8
11,8 to < 10,130.76
11,10 to < 20,168.38
11,20 to < 40,200.61
11,40 to < 60,323.31
11,60 to < 80,413.77
11,80 to < 100,502.43
11,100 to < 150,670.8
11,150 to < 200,914.41
11,200 to < 250,1170.55
11,250 to < 300,1427.59
11,300 to < 350,1684.63
12,1 to < 2,87.43
12,2 to < 4,105.8
12,4 to < 6,115.41
12,6 to < 8,125.03
12,8 to < 10,133.78
12,10 to < 20,173.99
12,20 to < 40,208.1
12,40 to < 60,331.39
12,60 to < 80,445.06
12,80 to < 100,528.11
12,100 to < 150,734.48
12,150 to < 200,1012.52
12,200 to < 250,1298.45
12,250 to < 300,1582.62
12,300 to < 350,1867.66
13,1 to < 2,90.05
13,2 to < 4,107.36
13,4 to < 6,116.02
13,6 to < 8,125.55
13,8 to < 10,135.08
13,10 to < 20,174.04
13,20 to < 40,220.81
13,40 to < 60,342.89
13,60 to < 80,455.46
13,80 to < 100,526.46
13,100 to < 150,749.86
13,150 to < 200,1017.42
13,200 to < 250,1305.76
13,250 to < 300,1591.49
13,300 to < 350,1878.1
14,1 to < 2,94.71
14,2 to < 4,110.91
14,4 to < 6,118.58
14,6 to < 8,127.97
14,8 to < 10,137.36
14,10 to < 20,173.19
14,20 to < 40,242.29
14,40 to < 60,353.21
14,60 to < 80,464.11
14,80 to < 100,527.25
14,100 to < 150,761.02
14,150 to < 200,1020.37
14,200 to < 250,1307.03
14,250 to < 300,1593.68
14,300 to < 350,1881.2
15,1 to < 2,95.07
15,2 to < 4,114.6
15,4 to < 6,123.09
15,6 to < 8,132.44
15,8 to < 10,142.61
15,10 to < 20,181.66
15,20 to < 40,257.21
15,40 to < 60,369.28
15,60 to < 80,478.78
15,80 to < 100,566.21
15,100 to < 150,790.33
15,150 to < 200,1095.94
15,200 to < 250,1405.79
15,250 to < 300,1713.94
15,300 to < 350,2023.79
16,1 to < 2,98.48
16,2 to < 4,118.85
16,4 to < 6,129.04
16,6 to < 8,139.22
16,8 to < 10,148.55
16,10 to < 20,191
16,20 to < 40,275.05
16,40 to < 60,389.65
16,60 to < 80,511.04
16,80 to < 100,613.76
16,100 to < 150,834.47
16,150 to < 200,1175.73
16,200 to < 250,1507.66
16,250 to < 300,1838.74
16,300 to < 350,2170.65
17,1 to < 2,103.56
17,2 to < 4,126.48
17,4 to < 6,137.53
17,6 to < 8,147.71
17,8 to < 10,157.05
17,10 to < 20,199.49
17,20 to < 40,288.62
17,40 to < 60,411.72
17,60 to < 80,528.01
17,80 to < 100,651.11
17,100 to < 150,864.19
17,150 to < 200,1217.33
17,200 to < 250,1552.64
17,250 to < 300,1898.16
17,300 to < 350,2242.81
18,1 to < 2,109.51
18,2 to < 4,139.22
18,4 to < 6,147.71
18,6 to < 8,156.2
18,8 to < 10,165.53
18,10 to < 20,207.13
18,20 to < 40,297.97
18,40 to < 60,422.75
18,60 to < 80,546.69
18,80 to < 100,673.19
18,100 to < 150,897.29
18,150 to < 200,1261.48
18,200 to < 250,1601.89
18,250 to < 300,1960.12
18,300 to < 350,2318.37
19,1 to < 2,124.18
19,2 to < 4,160.17
19,4 to < 6,165.56
19,6 to < 8,171.88
19,8 to < 10,181.77
19,10 to < 20,229.46
19,20 to < 40,317.65
19,40 to < 60,461.63
19,60 to < 80,600.19
19,80 to < 100,736.07
19,100 to < 150,988.92
19,150 to < 200,1383.06
19,200 to < 250,1750.19
19,250 to < 300,2145.22
19,300 to < 350,2540.25
20,1 to < 2,141.65
20,2 to < 4,161.76
20,4 to < 6,167.87
20,6 to < 8,174.88
20,8 to < 10,186.24
20,10 to < 20,233.46
20,20 to < 40,319.15
20,40 to < 60,462.55
20,60 to < 80,605.06
20,80 to < 100,738.85
