lookup_key,element
1_1_CPT-DUR-EXPRESS,3
1_1_DUR-CPT-EXPRESS,3
1_1_ZAY-CPT-EXPRESS,3
1_1_CPT-ZAY-EXPRESS,3
1_1_CPT-DUR-ECONOMY,3
1_1_DUR-CPT-ECONOMY,3
1_1_ZAY-CPT-ECONOMY,3
1_1_CPT-ZAY-ECONOMY,3
1_1_ZAY-DUR-EXPRESS,2
1_1_DUR-ZAY-EXPRESS,2
1_1_ZAY-DUR-ECONOMY,2
1_1_DUR-ZAY-ECONOMY,2
1_1_ZAY-ZAY-EXPRESS,1
1_1_DUR-DUR-EXPRESS,1
1_1_CPT-CPT-EXPRESS,1
1_1_ELS-ELS-EXPRESS,1
1_1_BFN-BFN-EXPRESS,1
1_1_PLZ-PLZ-EXPRESS,1
1_1_ZAY-ZAY-ECONOMY,1
1_1_DUR-DUR-ECONOMY,1
1_1_CPT-CPT-ECONOMY,1
1_1_ELS-ELS-ECONOMY,1
1_1_BFN-BFN-ECONOMY,1
1_1_PLZ-PLZ-ECONOMY,1
