orig_branch,dest_branch,lh_product_desc,total_legs
BTH,BTH,BTH-BTH-ECONOMY,1
BTH,BTH,BTH-BTH-EXPRESS,1
BTH,BFN,BTH-BFN-ECONOMY,8
BTH,BFN,BTH-BFN-EXPRESS,8
BTH,CDO,BTH-CDO-ECONOMY,12
BTH,CDO,BTH-CDO-EXPRESS,12
BTH,CPT,BTH-CPT-ECONOMY,12
BTH,CPT,BTH-CPT-EXPRESS,12
BTH,DUR,BTH-DUR-ECONOMY,8
BTH,DUR,BTH-DUR-EXPRESS,8
BTH,ELS,BTH-ELS-ECONOMY,9
BTH,ELS,BTH-ELS-EXPRESS,9
BTH,EMG,BTH-EMG-ECONOMY,10
BTH,EMG,BTH-EMG-EXPRESS,10
BTH,BWA,BTH-BWA-ECONOMY,12
BTH,BWA,BTH-BWA-EXPRESS,12
BTH,GRJ,BTH-GRJ-ECONOMY,13
BTH,GRJ,BTH-GRJ-EXPRESS,11
BTH,ZAY,BTH-ZAY-ECONOMY,4
BTH,ZAY,BTH-ZAY-EXPRESS,4
BTH,KIM,BTH-KIM-ECONOMY,8
BTH,KIM,BTH-KIM-EXPRESS,8
BTH,KXE,BTH-KXE-ECONOMY,6
BTH,KXE,BTH-KXE-EXPRESS,6
BTH,SWZ,BTH-SWZ-ECONOMY,12
BTH,SWZ,BTH-SWZ-EXPRESS,12
BTH,LSO,BTH-LSO-ECONOMY,15
BTH,LSO,BTH-LSO-EXPRESS,15
BTH,SWZ,BTH-SWZ-ECONOMY,13
BTH,SWZ,BTH-SWZ-EXPRESS,13
BTH,NCS,BTH-NCS-ECONOMY,7
BTH,NCS,BTH-NCS-EXPRESS,7
BTH,NLP,BTH-NLP-ECONOMY,7
BTH,NLP,BTH-NLP-EXPRESS,7
BTH,PLZ,BTH-PLZ-ECONOMY,10
BTH,PLZ,BTH-PLZ-EXPRESS,10
BTH,ZCK,BTH-ZCK-ECONOMY,10
BTH,ZCK,BTH-ZCK-EXPRESS,10
BTH,POL,BTH-POL-ECONOMY,7
BTH,POL,BTH-POL-EXPRESS,7
BTH,PZB,BTH-PZB-ECONOMY,8
BTH,PZB,BTH-PZB-EXPRESS,8
BTH,RSB,BTH-RSB-ECONOMY,6
BTH,RSB,BTH-RSB-EXPRESS,6
BTH,UTN,BTH-UTN-ECONOMY,9
BTH,UTN,BTH-UTN-EXPRESS,9
BTH,UTT,BTH-UTT-ECONOMY,12
BTH,UTT,BTH-UTT-EXPRESS,12
BTH,VDB,BTH-VDB-ECONOMY,14
BTH,VDB,BTH-VDB-EXPRESS,14
BTH,NAM,BTH-NAM-ECONOMY,16
BTH,NAM,BTH-NAM-EXPRESS,16
BTH,WIT,BTH-WIT-ECONOMY,6
BTH,WIT,BTH-WIT-EXPRESS,6
BFN,BTH,BFN-BTH-ECONOMY,8
BFN,BTH,BFN-BTH-EXPRESS,8
BFN,BFN,BFN-BFN-ECONOMY,1
BFN,BFN,BFN-BFN-EXPRESS,1
BFN,CDO,BFN-CDO-ECONOMY,13
BFN,CDO,BFN-CDO-EXPRESS,13
BFN,CPT,BFN-CPT-ECONOMY,13
BFN,CPT,BFN-CPT-EXPRESS,7
BFN,DUR,BFN-DUR-ECONOMY,9
BFN,DUR,BFN-DUR-EXPRESS,5
BFN,ELS,BFN-ELS-ECONOMY,10
BFN,ELS,BFN-ELS-EXPRESS,5
BFN,EMG,BFN-EMG-ECONOMY,11
BFN,EMG,BFN-EMG-EXPRESS,7
BFN,BWA,BFN-BWA-ECONOMY,11
BFN,BWA,BFN-BWA-EXPRESS,11
BFN,GRJ,BFN-GRJ-ECONOMY,14
BFN,GRJ,BFN-GRJ-EXPRESS,6
BFN,ZAY,BFN-ZAY-ECONOMY,5
BFN,ZAY,BFN-ZAY-EXPRESS,5
BFN,KIM,BFN-KIM-ECONOMY,9
BFN,KIM,BFN-KIM-EXPRESS,9
BFN,KXE,BFN-KXE-ECONOMY,7
BFN,KXE,BFN-KXE-EXPRESS,7
BFN,SWZ,BFN-SWZ-ECONOMY,11
BFN,SWZ,BFN-SWZ-EXPRESS,11
BFN,LSO,BFN-LSO-ECONOMY,6
BFN,LSO,BFN-LSO-EXPRESS,6
BFN,SWZ,BFN-SWZ-ECONOMY,11
BFN,SWZ,BFN-SWZ-EXPRESS,11
BFN,NCS,BFN-NCS-ECONOMY,8
BFN,NCS,BFN-NCS-EXPRESS,8
BFN,NLP,BFN-NLP-ECONOMY,8
BFN,NLP,BFN-NLP-EXPRESS,8
BFN,PLZ,BFN-PLZ-ECONOMY,11
BFN,PLZ,BFN-PLZ-EXPRESS,5
BFN,ZCK,BFN-ZCK-ECONOMY,11
BFN,ZCK,BFN-ZCK-EXPRESS,7
BFN,POL,BFN-POL-ECONOMY,8
BFN,POL,BFN-POL-EXPRESS,8
BFN,PZB,BFN-PZB-ECONOMY,9
BFN,PZB,BFN-PZB-EXPRESS,9
BFN,RSB,BFN-RSB-ECONOMY,7
BFN,RSB,BFN-RSB-EXPRESS,7
BFN,UTN,BFN-UTN-ECONOMY,10
BFN,UTN,BFN-UTN-EXPRESS,10
BFN,UTT,BFN-UTT-ECONOMY,13
BFN,UTT,BFN-UTT-EXPRESS,13
BFN,VDB,BFN-VDB-ECONOMY,15
BFN,VDB,BFN-VDB-EXPRESS,9
BFN,NAM,BFN-NAM-ECONOMY,15
BFN,NAM,BFN-NAM-EXPRESS,15
BFN,WIT,BFN-WIT-ECONOMY,7
BFN,WIT,BFN-WIT-EXPRESS,7
CDO,BTH,CDO-BTH-ECONOMY,12
CDO,BTH,CDO-BTH-EXPRESS,12
CDO,BFN,CDO-BFN-ECONOMY,7
CDO,BFN,CDO-BFN-EXPRESS,7
CDO,CDO,CDO-CDO-ECONOMY,1
CDO,CDO,CDO-CDO-EXPRESS,1
CDO,CPT,CDO-CPT-ECONOMY,8
CDO,CPT,CDO-CPT-EXPRESS,8
CDO,DUR,CDO-DUR-ECONOMY,13
CDO,DUR,CDO-DUR-EXPRESS,8
CDO,ELS,CDO-ELS-ECONOMY,6
CDO,ELS,CDO-ELS-EXPRESS,6
CDO,EMG,CDO-EMG-ECONOMY,15
CDO,EMG,CDO-EMG-EXPRESS,10
CDO,BWA,CDO-BWA-ECONOMY,15
CDO,BWA,CDO-BWA-EXPRESS,15
CDO,GRJ,CDO-GRJ-ECONOMY,6
CDO,GRJ,CDO-GRJ-EXPRESS,6
CDO,ZAY,CDO-ZAY-ECONOMY,9
CDO,ZAY,CDO-ZAY-EXPRESS,9
CDO,KIM,CDO-KIM-ECONOMY,13
CDO,KIM,CDO-KIM-EXPRESS,13
CDO,KXE,CDO-KXE-ECONOMY,11
CDO,KXE,CDO-KXE-EXPRESS,11
CDO,SWZ,CDO-SWZ-ECONOMY,15
CDO,SWZ,CDO-SWZ-EXPRESS,15
CDO,LSO,CDO-LSO-ECONOMY,12
CDO,LSO,CDO-LSO-EXPRESS,12
CDO,SWZ,CDO-SWZ-ECONOMY,15
CDO,SWZ,CDO-SWZ-EXPRESS,15
CDO,NCS,CDO-NCS-ECONOMY,12
CDO,NCS,CDO-NCS-EXPRESS,12
CDO,NLP,CDO-NLP-ECONOMY,12
CDO,NLP,CDO-NLP-EXPRESS,12
