suburb,col2,col3,col4,town_code
PRETORIA,0001,1,M,PTA
TSHWANE,0001,1,M,PTA
BEREA PARK,0002,2,M,PTA
CENTRAL,0002,2,M,PTA
CLYDESDALE,0002,2,M,PTA
DEFENCE FORCE AREA,0002,2,M,PTA
GEVANGENISTERREIN,0002,2,M,PTA
GOEDEHOOP,0002,2,M,PTA
MARABASTAD,0002,2,M,PTA
MUCKLENEUK,0002,2,M,PTA
PRETORIA,0002,2,M,PTA
PRETORIA EXT 14,0002,2,M,PTA
PRETORIA EXT 15,0002,2,M,PTA
PRETORIA EXT 9,0002,2,M,PTA
PRINCE'S PARK,0002,2,M,PTA
PRISON AREA,0002,2,M,PTA
RAILWAY RESERVE,0002,2,M,PTA
RIVERDAL,0002,2,M,PTA
RIVERDALE,0002,2,M,PTA
RIVERSDALE,0002,2,M,PTA
SALVOKOP,0002,2,M,PTA
SENTRAAL,0002,2,M,PTA
SKANSKOP,0002,2,M,PTA
SPOORWEGTERREIN,0002,2,M,PTA
SUNNYSIDE,0002,2,M,PTA
TREVENNA,0002,2,M,PTA
TSHWANE,0002,2,M,PTA
VERDEDIGINGSTERREIN,0002,2,M,PTA
ZWAVELDSPOORT,0002,2,M,PTA
UNISA,0003,3,M,PTA
PRETORIA CITY COUNCIL,0004,4,M,PTA
PRETORIA STADSRAAD,0004,4,M,PTA
STADSRAAD VAN PRETORIA,0004,4,M,PTA
ALKANTRANT,0005,5,M,PTA
ATTERIDGEVILLE,0006,6,M,PTA
SAULSVILLE EXT 6,0006,6,M,PTA
SAULSVILLE UIT 6,0006,6,M,PTA
ARCADIA,0007,7,M,PTA
ATTERIDGEVILLE,0008,8,M,PTA
ATTERIDGEVILLE EXT 16,0008,8,M,PTA
ATTERIDGEVILLE EXT 17,0008,8,M,PTA
ATTERIDGEVILLE EXT 18,0008,8,M,PTA
ATTERIDGEVILLE EXT 2,0008,8,M,PTA
ATTERIDGEVILLE EXT 25,0008,8,M,PTA
ATTERIDGEVILLE EXT 26,0008,8,M,PTA
ATTERIDGEVILLE EXT 27,0008,8,M,PTA
ATTERIDGEVILLE EXT 28,0008,8,M,PTA
ATTERIDGEVILLE EXT 29,0008,8,M,PTA
ATTERIDGEVILLE EXT 3,0008,8,M,PTA
ATTERIDGEVILLE EXT 30,0008,8,M,PTA
ATTERIDGEVILLE EXT 31,0008,8,M,PTA
ATTERIDGEVILLE EXT 32,0008,8,M,PTA
ATTERIDGEVILLE EXT 33,0008,8,M,PTA
ATTERIDGEVILLE EXT 35,0008,8,M,PTA
ATTERIDGEVILLE EXT 39,0008,8,M,PTA
ATTERIDGEVILLE EXT 4,0008,8,M,PTA
ATTERIDGEVILLE EXT 40,0008,8,M,PTA
ATTERIDGEVILLE EXT 5,0008,8,M,PTA
ATTERIDGEVILLE EXT 6,0008,8,M,PTA
ATTERIDGEVILLE EXT 7,0008,8,M,PTA
ATTERIDGEVILLE UIT 16,0008,8,M,PTA
ATTERIDGEVILLE UIT 17,0008,8,M,PTA
ATTERIDGEVILLE UIT 18,0008,8,M,PTA
ATTERIDGEVILLE UIT 2,0008,8,M,PTA
ATTERIDGEVILLE UIT 3,0008,8,M,PTA
ATTERIDGEVILLE UIT 4,0008,8,M,PTA
ATTERIDGEVILLE UIT 6,0008,8,M,PTA
ATTERIDGEVILLE UIT 7,0008,8,M,PTA
ATTERIDGEVILLE WEST EXT 6,0008,8,M,PTA
ATTERIDGEVILLE-WES UIT 6,0008,8,M,PTA
CONCERN,0008,8,M,PTA
KALAFONG HEIGHTS,0008,8,M,PTA
KALAFONG HOOGTE,0008,8,M,PTA
KWAGGASTRANT,0008,8,M,PTA
LOTUS GARDEN,0008,8,M,PTA
LOTUS GARDENS,0008,8,M,PTA
LOTUS GARDENS EXT 11,0008,8,M,PTA
LOTUS GARDENS EXT 12,0008,8,M,PTA
LOTUS GARDENS EXT 2,0008,8,M,PTA
LOTUS GARDENS EXT 3,0008,8,M,PTA
LOTUS GARDENS EXT 4,0008,8,M,PTA
LOTUS GARDENS EXT 5,0008,8,M,PTA
LOTUS TUIN,0008,8,M,PTA
LOTUS TUINE,0008,8,M,PTA
LOTUS TUINE UIT 2,0008,8,M,PTA
LOTUS TUINE UIT 3,0008,8,M,PTA
MATAMELA,0008,8,M,PTA
MOFOKENG,0008,8,M,PTA
PHOMOLONG,0008,8,M,PTA
SAULSVILLE EXT 3,0008,8,M,PTA
SAULSVILLE UIT 3,0008,8,M,PTA
BON ACCORD,0009,9,M,PTA
CONSTANTIA PARK,0010,10,M,PTA
CONSTANTIAPARK,0010,10,M,PTA
GLENSTANTIA,0010,10,M,PTA
WATERKLOOF GLEN,0010,10,M,PTA
WATERKLOOF GLEN EXT 2,0010,10,M,PTA
WATERKLOOF GLEN EXT 3,0010,10,M,PTA
WATERKLOOF GLEN EXT 4,0010,10,M,PTA
WATERKLOOF GLEN EXT 5,0010,10,M,PTA
WATERKLOOF GLEN EXT 6,0010,10,M,PTA
WATERKLOOF GLEN UIT 2,0010,10,M,PTA
WATERKLOOF GLEN UIT 3,0010,10,M,PTA
WATERKLOOF GLEN UIT 4,0010,10,M,PTA
WATERKLOOF GLEN UIT 5,0010,10,M,PTA
WATERKLOOF GLEN UIT 6,0010,10,M,PTA
BROOKLYN,0011,11,M,PTA
