town_code,tariff_hub,ops_branch,town_name,province,town_type,town_type_abbr,remote_km,servicing_town,service_code,location,sla_facility,zone
AND,KIM,KIM,AANDSTER,North West,Outlying,O,67,SRK,OR,LOC,Outlying Adhoc,5
ANS,KIM,UTN,AANSLUIT,Northern Cape,Outlying,O,273,KUR,OR,LOC,Outlying Adhoc,8
ADW,PLZ,CDO,ABERDEEN,Eastern Cape,Outlying,O,111,GRT,OR,LOC,Outlying Bi-weekly,7
ABE,PLZ,PLZ,ABERDEEN ROAD,Eastern Cape,Outlying,O,139,GRT,OR,LOC,Outlying Bi-weekly,7
AFY,NCS,BEM,ABERFELDY,Free State,Outlying,O,62,HRS,OR,LOC,Outlying Adhoc,3
ACH,NLP,NLP,ACORNHOEK,Mpumalanga,Outlying,O,69,HDT,OR,LOC,Outlying Bi-weekly,4
ADO,PLZ,PLZ,ADDO,Eastern Cape,Regional,R,NULL,PLZ,RM,LOC,Regional Daily,2
ADD,ELS,CDO,ADELAIDE,Eastern Cape,Outlying,O,158,SEO,OR,LOC,Outlying Bi-weekly,4
AFG,PTG,PTG,AFGUNS,Limpopo,Outlying,O,42,ELL,OR,LOC,Outlying Adhoc,6
AKK,NCS,BEM,AFRIKASKOP,Free State,Outlying,O,83,PJB,OR,LOC,Outlying Adhoc,2
AGG,CPT,UTN,AGGENEYS,Northern Cape,Outlying,O,223,SPU,OR,LOC,Outlying Bi-weekly,7
AGS,PLZ,CDO,AGTER SNEEUBERG,Eastern Cape,Outlying,O,95,CDO,OR,LOC,Outlying Bi-weekly,2
AGT,BFN,BFN,AGTERTANG,Northern Cape,Outlying,O,290,DER,OR,LOC,Outlying Adhoc,7
AHR,PZB,DUR,AHRENS,KwaZulu-Natal,Outlying,O,36,GTN,OR,LOC,Outlying Adhoc,5
AIR,NLP,NLP,AIRLIE,Mpumalanga,Outlying,O,121,BRL,OR,LOC,Outlying Adhoc,3
AKA,PTA,JNB,AKASIA,Gauteng,Main (Suburb),S,NULL,PTA,SM,LOC,Hub,1
ARA,GRJ,GRJ,ALBERTINIA,Western Cape,Outlying,O,70,SBI,OR,LOC,Outlying Bi-weekly,4
ABT,JNB,JNB,ALBERTON,Gauteng,Main (Suburb),S,NULL,JNB,SM,LOC,Hub,1
ALB,KPR,KPR,ALBERTSHOEK,North West,Outlying,O,44,SRK,OR,LOC,Outlying Adhoc,4
ALD,ELS,ELS,ALDERLEY,Eastern Cape,Outlying,O,150,UTT,OR,LOC,Outlying Adhoc,3
