orig_type,dest_type,type_lookup,sla_type,sla_type_code,route,tariff,c8,service,service_code,facility_type,route_band,route_type,lookup,sla_days,sla_text,c17,blns_service,blns_band,blns_code,blns_lookup,blns_sla,onx_lookup,onx_days,onx_sla
OrigType,DestType,Lookup,SLAType,,Route,Tariff,,Service,Service,Facility Type,Route,Route Type,Lookup,SLA DAYS,SLA,,,,,,,BLNS SLA's,,
HUB,HUB,HUBHUB,HUB,H,BFN-BFN,1,,Economy,ECO,Branch,1,Branch,EconomyBranch1,1,1 days by 17h00,,Express,1,B,Express-B1,1 days by 17h00,ONX-M1,1,1 days by 17h00
HUB,Branch,HUBBranch,Branch,B,BFN-CPT,5,,Economy,ECO,Branch,2,Branch,EconomyBranch2,2,2 days by 17h00,,Express,2,B,Express-B2,2 days by 17h00,ONX-M2,2,2 days by 17h00
HUB,Regional Daily,HUBRegional Daily,Regional Daily,R,BFN-DUR,3,,Economy,ECO,Branch,3,Branch,EconomyBranch3,2,2 days by 17h00,,Express,3,B,Express-B3,2 days by 17h00,ONX-M3,2,2 days by 17h00
HUB,Regional Bi-weekly,HUBRegional Bi-weekly,Regional Bi-weekly,R,BFN-ELS,4,,Economy,ECO,Branch,4,Branch,EconomyBranch4,3,3 days by 17h00,,Express,4,B,Express-B4,2 days by 17h00,ONX-M4,2,2 days by 17h00
HUB,Outlying Bi-weekly,HUBOutlying Bi-weekly,Outlying Bi-weekly,O,BFN-EMG,4,,Economy,ECO,Branch,5,Branch,EconomyBranch5,3,3 days by 17h00,,Express,5,B,Express-B5,2 days by 17h00,ONX-M5,2,2 days by 17h00
HUB,Outlying Adhoc,HUBOutlying Adhoc,Outlying Adhoc,O,BFN-GBE,5,,Economy,ECO,Branch,6,Branch,EconomyBranch6,4,4 days by 17h00,,Express,6,B,Express-B6,2 days by 17h00,ONX-M6,2,2 days by 17h00
Branch,HUB,BranchHUB,Branch,B,BFN-GRJ,5,,Economy,ECO,Branch,7,Branch,EconomyBranch7,5,5 days by 17h00,,Express,7,B,Express-B7,2 days by 17h00,ONX-M7,2,2 days by 17h00
Branch,Branch,BranchBranch,Branch,B,BFN-JNB,3,,Economy,ECO,Branch,8,Branch,EconomyBranch8,5,5 days by 17h00,,Express,8,B,Express-B8,2 days by 17h00,ONX-M8,2,2 days by 17h00
Branch,Regional Daily,BranchRegional Daily,Regional Daily,R,BFN-KIM,4,,Economy,ECO,Branch,9,Branch,EconomyBranch9,5,5 days by 17h00,,Express,9,B,Express-B9,2 days by 17h00,ONX-M9,2,2 days by 17h00
Branch,Regional Bi-weekly,BranchRegional Bi-weekly,Regional Bi-weekly,R,BFN-KPR,4,,Economy,ECO,Hub,1,Hub,EconomyHub1,1,1 days by 17h00,,Express,1,R,Express-R1,3 days by 17h00,ONX-R1,3,3 days by 17h00
Branch,Outlying Bi-weekly,BranchOutlying Bi-weekly,Outlying Bi-weekly,O,BFN-MBE,5,,Economy,ECO,Hub,2,Hub,EconomyHub2,1,1 days by 17h00,,Express,2,R,Express-R2,3 days by 17h00,ONX-R2,3,3 days by 17h00
Branch,Outlying Adhoc,BranchOutlying Adhoc,Outlying Adhoc,O,BFN-MSU,1,,Economy,ECO,Hub,3,Hub,EconomyHub3,1,1 days by 17h00,,Express,3,R,Express-R3,3 days by 17h00,ONX-R3,3,3 days by 17h00
Regional Daily,HUB,Regional DailyHUB,Regional Daily,R,BFN-MTS,5,,Economy,ECO,Hub,4,Hub,EconomyHub4,1,1 days by 17h00,,Express,4,R,Express-R4,3 days by 17h00,ONX-R4,3,3 days by 17h00
Regional Daily,Branch,Regional DailyBranch,Regional Daily,R,BFN-NCS,4,,Economy,ECO,Hub,5,Hub,EconomyHub5,2,2 days by 17h00,,Express,5,R,Express-R5,3 days by 17h00,ONX-R5,3,3 days by 17h00
Regional Daily,Regional Daily,Regional DailyRegional Daily,Regional Daily,R,BFN-NLP,4,,Economy,ECO,Hub,6,Hub,EconomyHub6,2,2 days by 17h00,,Express,6,R,Express-R6,3 days by 17h00,ONX-R6,3,3 days by 17h00
Regional Daily,Regional Bi-weekly,Regional DailyRegional Bi-weekly,Regional Bi-weekly,R,BFN-PLZ,4,,Economy,ECO,Hub,7,Hub,EconomyHub7,2,2 days by 17h00,,Express,7,R,Express-R7,3 days by 17h00,ONX-R7,3,3 days by 17h00
Regional Daily,Outlying Bi-weekly,Regional DailyOutlying Bi-weekly,Outlying Bi-weekly,O,BFN-PTA,3,,Economy,ECO,Hub,8,Hub,EconomyHub8,3,3 days by 17h00,,Express,8,R,Express-R8,4 days by 17h00,ONX-R8,4,4 days by 17h00
Regional Daily,Outlying Adhoc,Regional DailyOutlying Adhoc,Outlying Adhoc,O,BFN-PTG,4,,Economy,ECO,Hub,9,Hub,EconomyHub9,3,3 days by 17h00,,Express,9,R,Express-R9,4 days by 17h00,ONX-R9,4,4 days by 17h00
Regional Bi-weekly,HUB,Regional Bi-weeklyHUB,Regional Bi-weekly,R,BFN-PZB,3,,Economy,ECO,Outlying Adhoc,1,Outlying Adhoc,EconomyOutlying Adhoc1,6,6 days by 17h00,,Express,1,O,Express-O1,3 days by 17h00,ONX-O1,3,3 days by 17h00
Regional Bi-weekly,Branch,Regional Bi-weeklyBranch,Regional Bi-weekly,R,BFN-VDB,4,,Economy,ECO,Outlying Adhoc,2,Outlying Adhoc,EconomyOutlying Adhoc2,6,6 days by 17h00,,Express,2,O,Express-O2,3 days by 17h00,ONX-O2,3,3 days by 17h00
Regional Bi-weekly,Regional Daily,Regional Bi-weeklyRegional Daily,Regional Bi-weekly,R,BFN-WDH,8,,Economy,ECO,Outlying Adhoc,3,Outlying Adhoc,EconomyOutlying Adhoc3,6,6 days by 17h00,,Express,3,O,Express-O3,3 days by 17h00,ONX-O3,3,3 days by 17h00
Regional Bi-weekly,Regional Bi-weekly,Regional Bi-weeklyRegional Bi-weekly,Regional Bi-weekly,R,BFN-WIR,4,,Economy,ECO,Outlying Adhoc,4,Outlying Adhoc,EconomyOutlying Adhoc4,6,6 days by 17h00,,Express,4,O,Express-O4,4 days by 17h00,ONX-O4,4,4 days by 17h00
Regional Bi-weekly,Outlying Bi-weekly,Regional Bi-weeklyOutlying Bi-weekly,Outlying Bi-weekly,O,CPT-BFN,5,,Economy,ECO,Outlying Adhoc,5,Outlying Adhoc,EconomyOutlying Adhoc5,6,6 days by 17h00,,Express,5,O,Express-O5,4 days by 17h00,ONX-O5,4,4 days by 17h00
Regional Bi-weekly,Outlying Adhoc,Regional Bi-weeklyOutlying Adhoc,Outlying Adhoc,O,CPT-CPT,1,,Economy,ECO,Outlying Adhoc,6,Outlying Adhoc,EconomyOutlying Adhoc6,6,6 days by 17h00,,Express,6,O,Express-O6,4 days by 17h00,ONX-O6,4,4 days by 17h00
Outlying Bi-weekly,HUB,Outlying Bi-weeklyHUB,Outlying Bi-weekly,O,CPT-DUR,5,,Economy,ECO,Outlying Adhoc,7,Outlying Adhoc,EconomyOutlying Adhoc7,6,6 days by 17h00,,Express,7,O,Express-O7,4 days by 17h00,ONX-O7,4,4 days by 17h00
Outlying Bi-weekly,Branch,Outlying Bi-weeklyBranch,Outlying Bi-weekly,O,CPT-ELS,5,,Economy,ECO,Outlying Adhoc,8,Outlying Adhoc,EconomyOutlying Adhoc8,7,7 days by 17h00,,Express,8,O,Express-O8,4 days by 17h00,ONX-O8,4,4 days by 17h00
Outlying Bi-weekly,Regional Daily,Outlying Bi-weeklyRegional Daily,Outlying Bi-weekly,O,CPT-EMG,6,,Economy,ECO,Outlying Adhoc,9,Outlying Adhoc,EconomyOutlying Adhoc9,7,7 days by 17h00,,Express,9,O,Express-O9,4 days by 17h00,ONX-O9,4,4 days by 17h00
