town_name,billing_town,zone,ops_branch
Aapiesdoorndraai,BGF,5,PTG
Abambo,WIS,6,ELS
Abbot's Poort,WPT,5,PTG
Abbotsdale,MBY,3,CPT
Aberdeen,ADW,7,CDO
Aberdeen Road,ABE,7,PLZ
Aboboti,QBQ,4,ELS
Achtertuin,CER,4,CPT
Acornhoek,ACH,4,NLP
Adams Mission,AZT,2,DUR
Addney,BTK,4,PTG
Addo,ADO,2,PLZ
Adelaide,ADD,4,CDO
Adelaide,ADD,4,CDO
Adendorp,GRT,4,CDO
Afguns,AFG,6,PTG
Afrikaskop,AKK,2,BEM
Afsaal,MER,3,NLP
Afsaal,COE,2,PLZ
Aftoni,TSP,5,PTG
Afzondering,LEH,6,PSH
Aggeneys,AGG,7,UTN
Agincourt,TML,4,NLP
Agisanang,SAH,4,KPR
Ahrens,AHR,5,DUR
Akasia,AKA,1,JNB
Alberlaine,GSH,1,KIM
Albert Falls,WBG,3,DUR
Albertinia,ARA,4,GRJ
Alberton,ABT,1,JNB
Albertsnek,TGW,4,NLP
Aldinville,SHA,3,DUR
Alexander Bay,AXB,10,UTN
Alexandra,SAN,1,JNB
Alexandria,ALX,3,PLZ
Alexandria,MRI,3,NLP
Algiers,GNY,8,KPR
Alheit,MCH,4,UTN
Alice,ALC,4,ELS
Alicedale,ALI,3,PLZ
Aliwal North,AWL,6,BFN
Alkmaar,BVL,1,NLP
All Saints Mission,ENG,4,ELS
Allandale,TML,4,NLP
Allandale,ALC,4,ELS
Allandale,BCC,2,PLZ
Allandale,TML,4,NLP
Allanridge,ARD,5,BFN
Allanwater,SAD,5,ELS
Alldays,ALL,5,PTG
Allemansdrif,SBW,4,WIR
Alma,ALM,5,JNB
Aloma,NCH,2,PLZ
Alpha,APH,5,NCS
Altein,MLM,6,PTG
Altona,BCE,5,NCS
Alverton,BGF,5,PTG
aMabele,AMA,3,ELS
Amakasi,WAS,4,NCS
Amalanga,HAE,2,DUR
Amalia,AME,5,KPR
Amandebele A Lebelo,BBG,3,JNB
Amandelbult,NRR,3,RTR
